code,coding_centre,note
01,"Argentina",
02,"Australia",
03,"Austria",
04,"Belgium",
05,"Colombia",
06,"Brazil",
07,"Canada",
08,"Denmark",
09,"Chile",
10,"Finland",
11,"France",
12,"Germany",
13,"Great Britain",
14,"Greece",
15,"India",
16,"Indonesia",
17,"Nigeria",
18,"Ireland",
19,"Italy",
20,"Japan",
21,"Mexico",
22,"Netherlands",
23,"New Zealand",
24,"Norway",
25,"Peru",
26,"El Salvador",
27,"Poland",
28,"Portugal",
29,"South Africa",
30,"Spain",
31,"Sweden",
32,"Switzerland",
33,"Turkey",
34,"Uruguay",
35,"USA",
36,"Venezuela",
37,"Yugoslavia",
38,"Taiwan","Added later, in order of appearance"
39,"Singapore","Added later, in order of appearance"
40,"Hong Kong","Added later, in order of appearance"
41,"China (unconfirmed)",
42,"China (unconfirmed)",
43,"Hungary",
66,"Unknown / Unconfirmed","Seen on hi-fi equipment from Sweden"
67,"Unknown / Unconfirmed","Seen on a portable radio from Japan"
69,"Unknown / Unconfirmed","Seen on various car radios"
70,"Central product range from Eindhoven",
74,"Marantz",
75,"Marantz",
90,"Far East","Seems to have also been used for Singapore before 39 was assigned, and for Hong Kong before 40 was assigned"
