code,product_group,note
01,"Iron, steel and alloys","Product Category, not Industry Group"
02,"Nickel, chrome, cobalt and alloys","Product Category, not Industry Group"
03,"Copper, noble metals and alloys","Product Category, not Industry Group"
04,"Light metals and alloys","Product Category, not Industry Group"
05,"High melting point metals and alloys","Product Category, not Industry Group"
06,"Welding and soldering materials, low melting point metals and alloys","Product Category, not Industry Group"
07,"Insulated wire, cables, cords","Product Category, not Industry Group"
08,"Plastics and rubber","Product Category, not Industry Group"
11,"Glass and ceramic","Product Category, not Industry Group"
12,"Various non-metallic materials","Product Category, not Industry Group"
13,"Chemicals, paint","Product Category, not Industry Group"
19,"Connections and cable feedthroughs","Product Category, not Industry Group"
20,"Capacitors - 3rd party production","Product Category, not Industry Group"
21,"Resistors - 3rd party production","Product Category, not Industry Group"
22,"Capacitors - own production","Product Category, not Industry Group"
23,"Resistors - own production","Product Category, not Industry Group"
24,"Various electrotechnical and electromechanical articles","Product Category, not Industry Group"
25,"Fasteners","Product Category, not Industry Group"
26,"Machine parts, machines, tools","Product Category, not Industry Group"
27,"Building blocks for electrical applications","Product Category, not Industry Group"
28,"Facilities, transport, packaging","Product Category, not Industry Group"
29,"Building materials, hinges and locks","Product Category, not Industry Group"
31,"Consumer electronics","Originally known as: radio, gramophone and television"
32,"Lighting (Lumileds)",
35,"Telecommunications",
39,"Electro Acoustics",
40,"Professional Electronics","Still used by ASML"
42,"Appliances","Found in washing machines"
43,"Military Electronics",
44,"Seen in a LED Driver","Example: 4404 009 78301"
45,"Unknown / Uncategorized","Found in Therm Print HD for FM30/50 Avalon Fetal Monitors: 4512 610 26321"
46,"Large appliances",
48,"Electronic Components (Service Parts)","Not an industry group, but directly under the core organization"
51,"Peripheral equipment",
53,"Service Parts","Not an industry group, but directly under the core organization"
71,"Power Supply",
73,"Unknown / Uncategorized",
82,"Computers",
85,"Large appliances","Added in year 1967"
86,"Consumer electronics",
88,"Appliances",
90,"Consumer electronics",
91,"Signify (Philips Hue)",
92,"Lighting (Lumileds, Signify)",
93,"Transistors","Found in some MOSFET"
95,"Military electronics, Telecom",
